round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
Second,Paul-Henri Mathieu,6-0 7-6(5) 6-2,2006,m,Paul-Henri Mathieu,Alex Jr. Bogomolov,FRA,RUS,49%,64%,13,1,3,7,88%,57%,0.54,0.36,,,,,,,0.37,1,0.50,0.30,116,82,37,28,32,53,86%,60%
Second,Nikolay Davydenko,4-6 6-0 6-3 6-2,2006,m,Nikolay Davydenko,Kevin Kim,RUS,USA,79%,59%,3,0,2,9,67%,64%,0.67,0.37,201,199,162,167,128,128,0.57,0.6,0.47,0.33,115,86,30,16,38,52,75%,50%
Second,Juan Carlos Ferrero,6-3 3-6 5-7 6-3 6-2,2006,m,Juan Carlos Ferrero,Janko Tipsarevic,ESP,SRB,62%,50%,14,16,2,3,74%,67%,0.53,0.46,197,210,178,188,136,136,0.35,1,0.44,0.34,156,136,55,57,27,55,75%,60%
Second,Roger Federer,6-1 6-4 6-0,2006,m,Roger Federer,Florian Mayer,SUI,GER,61%,64%,9,2,1,5,76%,52%,0.62,0.44,201,201,180,183,139,139,0.6,0,0.51,0.30,87,56,38,20,18,21,80%,53%
Second,David Ferrer,6-4 6-4 6-7(5) 6-2,2006,m,David Ferrer,Daniele Bracciali,ESP,ITA,66%,51%,5,6,2,11,65%,52%,0.49,0.55,197,222,168,183,141,141,0.69,0.42,0.51,0.41,145,118,23,44,39,84,56%,68%
Second,Denis Gremelmayr,2-6 5-7 6-4 6-3 6-3,2006,m,Denis Gremelmayr,Robby Ginepri,GER,USA,50%,66%,8,7,10,3,67%,67%,0.46,0.45,197,197,168,170,144,144,0.67,0.33,0.41,0.44,163,168,43,51,58,62,81%,63%
Second,Gaston Gaudio,6-3 6-2 6-3,2006,m,Gaston Gaudio,Lars Burgsmuller,ARG,GER,55%,50%,1,3,1,4,76%,71%,0.64,0.35,194,197,180,172,146,146,0.55,0.2,0.49,0.30,93,65,28,27,17,39,67%,51%
Second,Ivan Ljubicic,7-5 6-2 6-1,2006,m,Ivan Ljubicic,Philipp Kohlschreiber,CRO,GER,52%,46%,3,3,4,5,70%,58%,0.62,0.49,209,210,191,175,143,143,0.44,0.4,0.49,0.36,107,82,35,26,22,29,70%,61%
Second,Gilles Simon,6-3 6-2 4-6 6-2,2006,m,Gilles Simon,Tomas Berdych,FRA,CZE,49%,46%,6,3,3,9,73%,65%,0.54,0.45,202,210,173,193,156,156,0.78,0.21,0.49,0.38,135,106,45,33,38,56,77%,58%
Second,Thomas Johansson,6-3 3-6 7-5 4-6 6-3,2006,m,Thomas Johansson,Xavier Malisse,SWE,BEL,53%,47%,12,16,4,3,75%,75%,0.53,0.54,213,201,183,185,136,136,0.45,0.4,0.36,0.35,153,148,44,57,57,66,80%,67%
Second,Andy Roddick,7-5 6-3 6-2,2006,m,Andy Roddick,Wesley Moodie,USA,RSA,62%,72%,11,11,1,2,85%,62%,0.69,0.73,226,212,205,191,170,170,0.44,0,0.36,0.22,92,71,30,36,9,25,50%,57%
Second,James Blake,2-6 6-1 6-4 6-3,2006,m,James Blake,Jean-Christophe Faurel,USA,FRA,55%,61%,5,9,3,6,77%,64%,0.51,0.43,209,205,188,165,144,144,0.47,0.5,0.47,0.36,119,100,41,33,33,27,67%,63%
Second,David Nalbandian,6-4 3-6 6-4 6-2,2006,m,David Nalbandian,Stanislas Wawrinka,ARG,SUI,66%,55%,2,10,3,4,66%,65%,0.72,0.57,196,217,176,188,156,156,0.33,0.08,0.40,0.34,136,123,26,46,46,52,67%,69%
Second,Tommy Robredo,7-6(4) 3-6 7-6(5) 6-3,2006,m,Tommy Robredo,Dmitry Tursunov,ESP,RUS,73%,54%,5,8,2,5,69%,78%,0.65,0.44,202,217,165,181,141,141,0.67,0.33,0.39,0.33,154,140,50,40,55,65,83%,59%
Second,Feliciano Lopez,6-2 6-4 6-7(6) 6-4,2006,m,Feliciano Lopez,Gilles Muller,ESP,LUX,61%,65%,17,10,5,4,80%,66%,0.5,0.52,213,201,193,183,156,156,0.38,0.67,0.40,0.33,138,125,55,43,39,43,64%,58%
Second,Jarkko Nieminen,6-2 7-6(3) 6-2,2006,m,Jarkko Nieminen,Jimmy Wang,FIN,TPE,62%,50%,4,4,2,2,72%,63%,0.7,0.41,197,196,164,180,139,139,0.67,0.2,0.49,0.30,107,72,30,28,23,53,67%,54%
Second,Mario Ancic,6-1 6-4 6-4,2006,m,Mario Ancic,Jan Hernych,CRO,CZE,63%,65%,10,1,2,1,91%,61%,0.64,0.62,210,194,189,176,149,149,0.27,0.33,0.40,0.20,90,66,42,21,22,11,84%,53%
