round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
Third,Fernando Gonzalez,6-7(5) 6-3 1-6 6-3 6-4,2010,m,Fernando Gonzalez,Evgeny Korolev,CHI,KAZ,57%,59%,20,16,5,7,80%,78%,0.51,0.53,209,202,179,178,149,145,0.36,0.33,0.31,0.32,154,150,63,62,41,50,90%,64%
Third,Marin Cilic,4-6 6-4 6-3 6-3,2010,m,Marin Cilic,Stanislas Wawrinka,CRO,SUI,57%,53%,10,11,2,6,83%,75%,0.49,0.45,209,218,189,188,140,146,0.5,0.29,0.37,0.31,129,114,35,24,56,49,65%,50%
Third,Juan Martin Del Potro,6-3 0-6 6-4 7-5,2010,m,Juan Martin Del Potro,Florian Mayer,ARG,GER,59%,67%,11,5,5,3,71%,64%,0.45,0.54,218,198,199,183,158,139,0.36,0.5,0.38,0.38,118,117,45,34,46,24,66%,69%
Third,Andy Murray,7-5 6-1 6-4,2010,m,Andy Murray,Florent Serra,GBR,FRA,55%,66%,14,6,3,2,81%,51%,0.56,0.48,211,207,188,189,145,142,0.44,1,0.49,0.29,102,72,49,26,28,35,87%,48%
Third,John Isner,6-1 4-6 7-6(4) 7-6(5),2010,m,John Isner,Gael Monfils,USA,FRA,66%,60%,26,12,3,7,80%,71%,0.53,0.52,223,210,194,183,174,151,0.8,0.43,0.35,0.28,139,118,73,34,38,28,66%,86%
Third,Ivo Karlovic,6-3 3-6 6-3 7-6(7),2010,m,Ivo Karlovic,Ivan Ljubicic,CRO,CRO,71%,61%,33,14,2,0,85%,76%,0.52,0.51,229,216,212,190,165,148,0.2,0.14,0.34,0.24,132,117,64,43,36,25,62%,64%
Third,Rafael Nadal,6-4 6-2 2-6 7-5,2010,m,Rafael Nadal,Philipp Kohlschreiber,ESP,GER,62%,61%,6,11,3,4,69%,68%,0.51,0.48,200,206,177,187,141,156,0.42,0.2,0.39,0.37,137,129,36,41,38,58,71%,58%
Second,Roger Federer,6-2 6-3 6-2,2010,m,Roger Federer,Victor Hanescu,SUI,ROU,67%,70%,8,3,1,1,82%,56%,0.63,0.46,204,203,192,189,153,159,0.45,0,0.47,0.24,96,64,52,20,18,26,81%,62%
Second,Albert Montanes,4-6 6-7(3) 6-2 6-3 6-2,2010,m,Albert Montanes,Stephane Robert,ESP,FRA,68%,59%,13,3,5,7,69%,59%,0.46,0.47,194,185,177,169,145,133,0.47,0.4,0.44,0.37,174,150,69,43,57,55,48%,64%
Second,Lleyton Hewitt,7-6(3) 6-4 6-1,2010,m,Lleyton Hewitt,Donald Young,AUS,USA,58%,63%,7,8,1,2,68%,65%,0.63,0.3,196,206,176,174,146,144,0.5,0.33,0.46,0.34,102,76,32,30,24,42,73%,65%
Second,Marcos Baghdatis,4-6 3-6 7-6(4) 6-3 6-1,2010,m,Marcos Baghdatis,David Ferrer,CYP,ESP,53%,66%,11,1,1,0,76%,62%,0.54,0.53,213,192,189,174,133,144,0.35,0.44,0.41,0.34,166,154,56,47,67,72,76%,68%
Second,Fernando Verdasco,6-1 6-2 6-2,2010,m,Fernando Verdasco,Ivan Sergeyev,ESP,UKR,70%,40%,6,0,6,7,72%,53%,0.46,0.34,210,195,177,180,154,142,0.44,0.2,0.54,0.33,101,64,38,16,32,47,72%,62%
Second,Stefan Koubek,7-6(4) 6-1 6-2,2010,m,Stefan Koubek,Ivan Dodig,AUT,CRO,65%,54%,9,9,4,5,81%,61%,0.55,0.5,,,,,0,0,0.5,0.25,0.42,0.26,102,76,,,8,10,,
Second,Juan Monaco,3-6 3-6 7-6(5) 6-1 6-3,2010,m,Juan Monaco,Michael Llodra,ARG,FRA,68%,57%,5,5,2,7,63%,63%,0.57,0.45,197,205,172,179,147,153,0.44,0.47,0.42,0.39,152,137,73,53,31,46,53%,52%
Second,Nikolay Davydenko,6-3 6-3 6-0,2010,m,Nikolay Davydenko,Illya Marchenko,RUS,UKR,75%,53%,9,1,0,1,79%,62%,0.47,0.3,207,192,175,173,139,140,0.64,0.14,0.52,0.29,90,55,27,14,19,32,57%,50%
Second,Novak Djokovic,3-6 6-1 6-1 6-3,2010,m,Novak Djokovic,Marco Chiudinelli,SRB,SUI,63%,56%,12,3,9,3,75%,58%,0.33,0.42,202,208,186,187,158,147,0.44,0.18,0.48,0.38,124,103,46,25,61,42,73%,58%
Second,Denis Istomin,7-5 6-3 6-4,2010,m,Denis Istomin,Michael Berrer,UZB,GER,67%,65%,9,5,2,2,75%,56%,0.55,0.57,,,,,0,0,0.6,1,0.43,0.31,107,88,,,4,4,,
Second,Mikhail Youzhny,6-2 6-1 6-1,2010,m,Mikhail Youzhny,Jan Hajek,RUS,CZE,60%,70%,5,0,1,5,92%,47%,0.5,0.33,196,192,173,166,142,138,0.64,1,0.53,0.25,85,45,25,18,13,46,92%,50%
Second,Lukasz Kubot,6-4 3-6 6-3 6-1,2010,m,Lukasz Kubot,Santiago Giraldo,POL,COL,66%,70%,17,2,6,2,75%,60%,0.49,0.38,,,,,0,0,0.41,0.27,0.46,0.33,136,110,,,12,4,,
Second,Jo-Wilfried Tsonga,6-4 6-3 6-3,2010,m,Jo-Wilfried Tsonga,Taylor Dent,FRA,USA,58%,47%,12,4,0,7,86%,70%,0.61,0.47,215,231,191,203,147,172,0.45,1,0.39,0.25,91,67,42,25,10,33,60%,52%
Second,Tommy Haas,4-6 6-4 6-3 1-6 6-3,2010,m,Tommy Haas,Janko Tipsarevic,GER,SRB,56%,54%,16,14,7,5,72%,69%,0.44,0.52,198,202,181,188,155,145,0.75,0.35,0.38,0.39,144,140,60,39,78,41,74%,61%
Second,Nicolas Almagro,6-4 6-2 3-6 4-6 6-3,2010,m,Nicolas Almagro,Benjamin Becker,ESP,GER,59%,53%,17,14,1,6,78%,77%,0.67,0.55,214,216,186,189,147,148,0.57,1,0.32,0.26,135,121,55,34,39,55,45%,79%
Second,Alejandro Falla,6-4 6-1 6-3,2010,m,Alejandro Falla,Marcel Granollers,COL,ESP,61%,69%,2,3,4,4,74%,55%,0.43,0.27,,,,,0,0,0.44,0.6,0.52,0.36,99,73,,,8,8,,
Second,Andy Roddick,6-3 6-4 6-4,2010,m,Andy Roddick,Thomaz Bellucci,USA,BRA,80%,61%,11,8,0,4,78%,65%,0.75,0.47,220,204,195,178,167,153,0.33,0.2,0.40,0.23,102,75,27,35,13,43,57%,61%
Second,Feliciano Lopez,6-3 2-6 6-3 6-2,2010,m,Feliciano Lopez,Rainer Schuettler,ESP,GER,48%,64%,11,2,4,4,70%,68%,0.59,0.44,210,199,186,167,155,139,0.5,0.22,0.39,0.35,117,102,42,27,57,50,63%,48%
Second,Evgeny Korolev,6-4 6-4 7-5,2010,m,Evgeny Korolev,Tomas Berdych,KAZ,CZE,59%,51%,4,4,5,4,75%,60%,0.41,0.43,,,,,0,0,0.58,0.5,0.46,0.37,104,86,,,10,8,,
Second,Fernando Gonzalez,6-3 6-4 7-5,2010,m,Fernando Gonzalez,Marsel Ilhan,CHI,TUR,59%,77%,14,5,6,1,86%,59%,0.51,0.59,205,201,175,177,149,146,0.44,0.33,0.41,0.26,109,84,51,19,44,24,67%,59%
Second,Marin Cilic,6-7(6) 6-3 4-6 6-2 6-4,2010,m,Marin Cilic,Bernard Tomic,CRO,AUS,46%,66%,25,4,3,8,78%,63%,0.57,0.45,209,196,192,182,144,138,0.5,0.38,0.41,0.33,185,161,67,29,70,63,64%,64%
Second,Stanislas Wawrinka,6-3 6-2 6-2,2010,m,Stanislas Wawrinka,Igor Kunitsyn,SUI,RUS,53%,72%,12,2,5,1,88%,58%,0.41,0.47,214,176,194,160,155,132,0.71,0,0.44,0.33,92,70,30,10,43,37,67%,85%
Second,Florian Mayer,4-6 6-4 7-6(2) 6-1,2010,m,Florian Mayer,Viktor Troicki,GER,SRB,66%,61%,6,26,0,9,72%,76%,0.62,0.43,,,,,0,0,0.45,0.33,0.34,0.31,129,114,,,0,18,,
Second,Juan Martin Del Potro,6-4 6-7(3) 5-7 6-3 10-8,2010,m,Juan Martin Del Potro,James Blake,ARG,USA,58%,62%,19,16,9,4,79%,69%,0.43,0.48,215,206,192,182,151,148,0.32,0.5,0.38,0.35,205,200,69,81,60,60,72%,65%
Second,Andy Murray,6-1 6-4 6-3,2010,m,Andy Murray,Marc Gicquel,GBR,FRA,56%,59%,10,1,2,4,72%,59%,0.57,0.39,209,201,190,184,143,151,0.5,0.14,0.47,0.34,100,76,38,20,32,43,78%,67%
Second,Florent Serra,3-6 6-4 5-7 7-6(4) 7-5,2010,m,Florent Serra,Jarkko Nieminen,FRA,FIN,58%,76%,11,9,7,4,63%,64%,0.56,0.54,198,203,175,164,139,125,0.35,0.29,0.38,0.38,195,199,66,52,104,58,58%,64%
Second,John Isner,6-3 7-6(4) 7-5,2010,m,John Isner,Louk Sorensen,USA,IRL,74%,61%,21,11,2,6,74%,91%,0.68,0.5,215,200,181,172,162,143,0.4,0,0.24,0.27,99,94,61,28,51,19,81%,0%
Second,Gael Monfils,6-4 6-4 6-4,2010,m,Gael Monfils,Antonio Veic,FRA,CRO,63%,63%,7,2,7,0,73%,60%,0.45,0.45,209,188,174,169,146,132,0.86,0.6,0.45,0.35,103,85,42,23,39,24,71%,56%
Second,Ivo Karlovic,2-6 6-1 6-3 6-3,2010,m,Ivo Karlovic,Julien Benneteau,CRO,FRA,58%,60%,26,7,2,4,83%,63%,0.49,0.51,,,,,0,0,0.63,0.2,0.40,0.30,112,89,,,4,8,,
Second,Ivan Ljubicic,6-3 3-6 6-2 6-3,2010,m,Ivan Ljubicic,Andrey Golubev,CRO,KAZ,61%,54%,12,6,3,9,79%,66%,0.58,0.53,,,,,0,0,0.36,0.17,0.37,0.28,126,104,,,6,18,,
Second,Philipp Kohlschreiber,6-4 3-6 6-3 6-2,2010,m,Philipp Kohlschreiber,Wayne Odesnik,GER,USA,63%,48%,16,8,3,11,78%,64%,0.43,0.53,,,,,0,0,0.33,0.14,0.38,0.34,133,117,,,6,22,,
Second,Rafael Nadal,6-2 6-2 6-2,2010,m,Rafael Nadal,Lukas Lacko,ESP,SVK,55%,40%,1,2,1,5,71%,59%,0.69,0.35,202,203,186,185,143,154,0.7,1,0.52,0.29,89,55,15,13,30,58,80%,56%
First,Roger Federer,4-6 6-2 7-6(2) 6-0,2010,m,Roger Federer,Igor Andreev,SUI,RUS,58%,63%,9,2,3,7,75%,56%,0.51,0.37,204,208,181,184,153,140,0.47,0.45,0.48,0.34,135,103,29,26,38,55,74%,59%
First,Victor Hanescu,6-4 6-3 7-6(2),2010,m,Victor Hanescu,Juan Ignacio Chela,ROU,ARG,71%,54%,6,6,1,4,69%,63%,0.56,0.38,,,,,0,0,0.38,0.43,0.47,0.34,126,96,,,2,8,,
First,Stephane Robert,6-3 7-6(2) 7-6(4),2010,m,Stephane Robert,Potito Starace,FRA,ITA,63%,61%,3,5,2,2,73%,66%,0.58,0.51,189,195,169,174,132,146,0.5,0.18,0.39,0.32,134,110,51,56,26,53,67%,60%
First,Albert Montanes,7-6(5) 2-2 ret.,2010,m,Albert Montanes,Oscar Hernandez,ESP,ESP,60%,54%,4,0,2,2,79%,61%,0.63,0.53,,,,,0,0,0.13,1,0.42,0.27,64,53,,,4,4,,
First,Lleyton Hewitt,6-1 6-2 6-3,2010,m,Lleyton Hewitt,Ricardo Hocevar,AUS,BRA,60%,70%,10,5,3,4,89%,61%,0.64,0.36,197,203,178,181,135,153,0.5,0,0.44,0.20,88,58,33,19,26,39,70%,59%
First,Donald Young,1-6 7-5 6-2 6-4,2010,m,Donald Young,Christophe Rochus,USA,BEL,54%,63%,6,4,6,6,71%,66%,0.48,0.4,,,,,0,0,0.67,0.33,0.41,0.38,126,112,,,12,12,,
First,Marcos Baghdatis,6-2 6-4 6-4,2010,m,Marcos Baghdatis,Paolo Lorenzi,CYP,ITA,52%,66%,7,2,1,6,84%,58%,0.68,0.43,204,193,187,171,142,147,0.5,0.25,0.44,0.24,102,71,31,19,30,50,62%,53%
First,David Ferrer,6-0 6-0 2-0 ret.,2010,m,David Ferrer,Frederico Gil,ESP,POR,58%,70%,2,0,1,1,81%,31%,0.73,0.21,186,172,165,150,133,133,0.78,0.29,0.70,0.22,61,21,13,1,11,26,50%,29%
First,Fernando Verdasco,6-7(4) 7-6(1) 7-5 6-2,2010,m,Fernando Verdasco,Carsten Ball,ESP,AUS,73%,50%,7,13,6,6,79%,64%,0.45,0.58,210,219,170,192,148,160,0.27,0.23,0.37,0.29,161,138,37,62,28,63,74%,65%
First,Ivan Sergeyev,6-3 7-6(3) 4-6 7-6(8),2010,m,Ivan Sergeyev,Dudi Sela,UKR,ISR,58%,63%,10,7,7,3,72%,66%,0.51,0.52,,,,,0,0,0.33,0.36,0.39,0.36,157,147,,,14,6,,
First,Stefan Koubek,4-6 6-3 5-7 6-1 6-3,2010,m,Stefan Koubek,Rajeev Ram,AUT,USA,61%,57%,13,15,3,7,69%,71%,0.64,0.48,,,,,0,0,0.36,0.29,0.37,0.32,160,144,,,6,14,,
First,Ivan Dodig,2-6 1-6 6-4 6-1 6-1,2010,m,Ivan Dodig,Juan Carlos Ferrero,CRO,ESP,60%,65%,19,5,5,3,67%,68%,0.46,0.42,,,,,0,0,0.5,0.38,0.40,0.40,133,132,,,10,6,,
First,Juan Monaco,6-3 7-6(5) 6-1,2010,m,Juan Monaco,Ernests Gulbis,ARG,LAT,66%,54%,3,8,1,7,69%,59%,0.52,0.38,191,214,173,197,150,171,0.42,0.3,0.47,0.37,113,87,19,33,31,73,69%,56%
First,Michael Llodra,6-3 7-5 6-4,2010,m,Michael Llodra,Martin Vassallo Arguello,FRA,ARG,63%,71%,9,3,4,2,76%,62%,0.6,0.45,,,,,0,0,0.33,0.25,0.42,0.29,115,93,,,8,4,,
First,Illya Marchenko,7-6(2) 7-5 6-3,2010,m,Illya Marchenko,Carlos Moya,UKR,ESP,57%,56%,7,9,6,2,74%,65%,0.53,0.49,,,,,0,0,0.45,0.43,0.41,0.33,118,99,,,12,4,,
First,Nikolay Davydenko,6-1 6-0 6-3,2010,m,Nikolay Davydenko,Dieter Kindlmann,RUS,GER,60%,60%,6,0,2,6,67%,45%,0.63,0.28,203,178,172,167,141,141,0.45,0.33,0.57,0.34,89,52,39,12,25,35,60%,80%
First,Novak Djokovic,7-5 6-3 6-2,2010,m,Novak Djokovic,Daniel Gimeno-Traver,SRB,ESP,69%,60%,4,5,5,5,76%,71%,0.57,0.33,198,192,175,176,158,153,0.36,0.17,0.42,0.28,103,78,23,24,28,47,63%,82%
First,Marco Chiudinelli,7-6(7) 7-6(3) 4-6 6-3,2010,m,Marco Chiudinelli,Marinko Matosevic,SUI,AUS,58%,55%,4,12,3,5,72%,60%,0.51,0.59,202,190,184,175,144,137,0.5,0.42,0.39,0.36,142,134,42,51,48,49,77%,70%
First,Michael Berrer,6-1 6-2 6-1,2010,m,Michael Berrer,Kristof Vliegen,GER,BEL,69%,68%,10,5,4,4,92%,54%,0.59,0.24,211,174,188,155,148,137,0.5,0.25,0.53,0.17,88,45,40,13,19,34,70%,38%
First,Denis Istomin,6-2 6-2 6-0,2010,m,Denis Istomin,Jeremy Chardy,UZB,FRA,61%,49%,6,5,2,7,83%,60%,0.65,0.35,,,,,0,0,0.58,0,0.47,0.24,82,45,,,4,14,,
First,Mikhail Youzhny,6-7(9) 4-6 7-6(2) 7-6(4) 6-4,2010,m,Mikhail Youzhny,Richard Gasquet,RUS,FRA,57%,54%,12,8,8,9,73%,79%,0.51,0.42,196,202,178,182,137,153,0.6,0.38,0.36,0.35,187,180,79,69,80,65,65%,75%
First,Jan Hajek,7-6(2) 7-5 6-1,2010,m,Jan Hajek,Robby Ginepri,CZE,USA,67%,63%,3,6,3,3,70%,63%,0.53,0.4,,,,,0,0,0.38,0.25,0.45,0.35,123,102,,,6,6,,
First,Lukasz Kubot,6-3 6-3 6-3,2010,m,Lukasz Kubot,Mischa Zverev,POL,GER,63%,51%,5,12,3,3,69%,63%,0.69,0.39,,,,,0,0,0.64,0.67,0.47,0.30,95,70,,,6,6,,
First,Santiago Giraldo,6-4 6-2 6-2,2010,m,Santiago Giraldo,Tommy Robredo,COL,ESP,54%,57%,2,2,0,6,80%,60%,0.68,0.45,,,,,0,0,0.33,0,0.43,0.26,98,69,,,0,12,,
First,Jo-Wilfried Tsonga,6-3 6-4 6-4,2010,m,Jo-Wilfried Tsonga,Sergiy Stakhovsky,FRA,UKR,66%,60%,15,5,1,6,81%,61%,0.53,0.47,214,204,176,179,138,142,0.5,0.33,0.42,0.28,104,78,33,26,24,41,52%,56%
First,Taylor Dent,6-1 6-3 6-3,2010,m,Taylor Dent,Fabio Fognini,USA,ITA,53%,42%,7,2,3,7,79%,48%,0.44,0.35,225,187,192,169,170,139,0.67,0.38,0.53,0.36,81,51,27,20,26,32,61%,70%
First,Janko Tipsarevic,6-2 6-4 7-6(3),2010,m,Janko Tipsarevic,Ryan Harrison,SRB,USA,61%,54%,10,5,5,9,65%,63%,0.6,0.45,,,,,0,0,0.22,0.18,0.42,0.35,132,111,,,10,18,,
First,Tommy Haas,6-7(5) 6-4 6-2 6-1,2010,m,Tommy Haas,Simon Greul,GER,GER,64%,48%,14,3,5,8,67%,64%,0.68,0.42,194,199,178,184,153,147,0.35,0.5,0.45,0.31,140,108,57,37,46,47,70%,75%
First,Nicolas Almagro,7-6(12) 6-4 2-6 4-6 8-6,2010,m,Nicolas Almagro,Xavier Malisse,ESP,BEL,61%,57%,15,14,5,3,74%,75%,0.59,0.56,,,,,0,0,0.23,0.44,0.33,0.31,178,178,,,10,6,,
First,Benjamin Becker,7-6(5) 7-5 7-5,2010,m,Benjamin Becker,Grega Zemlja,GER,SLO,51%,57%,8,10,8,3,80%,62%,0.47,0.61,,,,,0,0,0.55,0.5,0.37,0.34,110,105,,,16,6,,
First,Alejandro Falla,7-5 6-3 6-1,2010,m,Alejandro Falla,Marcos Daniel,COL,BRA,52%,36%,2,2,4,8,80%,81%,0.57,0.43,,,,,0,0,0.5,0,0.40,0.30,98,76,,,8,16,,
First,Marcel Granollers,5-7 2-6 6-4 6-4 6-2,2010,m,Marcel Granollers,Robin Soderling,ESP,SWE,65%,62%,11,8,1,3,61%,67%,0.58,0.45,205,211,176,185,141,149,0.47,0.5,0.40,0.40,151,150,40,57,40,67,64%,71%
First,Andy Roddick,6-1 6-4 6-4,2010,m,Andy Roddick,Thiemo de Bakker,USA,NED,64%,71%,7,17,1,2,75%,65%,0.69,0.5,217,209,180,178,161,141,0.27,0,0.39,0.27,100,79,25,43,23,42,58%,50%
First,Thomaz Bellucci,6-3 7-5 4-6 6-4,2010,m,Thomaz Bellucci,Teimuraz Gabashvili,BRA,RUS,64%,57%,9,3,6,13,74%,66%,0.49,0.47,,,,,NULL,NULL,0.15,0.19,0.39,0.34,161,141,,,12,26,,
First,Feliciano Lopez,6-1 6-4 7-5,2010,m,Feliciano Lopez,Pablo Cuevas,ESP,URU,67%,61%,13,7,2,8,75%,71%,0.48,0.36,,,,,0,0,0.64,0.4,0.39,0.33,94,78,,,4,16,,
First,Rainer Schuettler,6-3 2-6 6-4 6-3,2010,m,Rainer Schuettler,Sam Querrey,GER,USA,57%,58%,1,15,5,6,73%,76%,0.49,0.41,,,,,0,0,0.5,0.6,0.37,0.36,112,107,,,10,12,,
First,Tomas Berdych,6-0 6-3 6-3,2010,m,Tomas Berdych,Robin Haase,CZE,NED,50%,60%,2,5,1,5,79%,53%,0.64,0.34,,,,,0,0,0.7,0.33,0.51,0.28,91,56,,,2,10,,
First,Evgeny Korolev,6-2 7-5 7-5,2010,m,Evgeny Korolev,Daniel Brands,KAZ,GER,57%,52%,2,10,7,5,72%,59%,0.49,0.48,,,,,0,0,0.78,0.43,0.44,0.35,107,89,,,14,10,,
First,Marsel Ilhan,6-4 6-3 7-5,2010,m,Marsel Ilhan,Sebastien Grosjean,TUR,FRA,67%,63%,1,4,1,1,66%,66%,0.61,0.49,,,,,0,0,0.38,0.09,0.40,0.35,112,99,,,2,2,,
First,Fernando Gonzalez,6-3 6-4 3-6 6-1,2010,m,Fernando Gonzalez,Olivier Rochus,CHI,BEL,59%,65%,19,5,4,4,88%,63%,0.46,0.42,201,173,174,155,148,132,0.4,0.43,0.43,0.28,124,99,70,25,32,18,71%,60%
First,Marin Cilic,7-5 7-5 6-3,2010,m,Marin Cilic,Fabrice Santoro,CRO,FRA,59%,62%,6,0,2,1,80%,66%,0.55,0.49,200,188,184,165,143,128,0.29,0.5,0.40,0.30,108,92,59,12,53,18,81%,50%
First,Bernard Tomic,6-3 6-4 6-4,2010,m,Bernard Tomic,Guillaume Rufin,AUS,FRA,66%,57%,5,2,0,2,70%,56%,0.62,0.5,196,194,174,175,131,146,0.46,0.38,0.46,0.33,94,70,18,20,30,52,67%,58%
First,Igor Kunitsyn,6-1 2-6 6-4 6-2,2010,m,Igor Kunitsyn,Jose Acasuso,RUS,ARG,83%,58%,5,9,2,6,68%,64%,0.48,0.39,,,,,0,0,0.55,0.21,0.44,0.35,126,99,,,4,12,,
First,Stanislas Wawrinka,6-3 6-3 6-2,2010,m,Stanislas Wawrinka,Guillermo Garcia-Lopez,SUI,ESP,57%,60%,6,1,4,9,83%,63%,0.66,0.42,213,186,180,171,147,137,0.71,0,0.41,0.23,93,63,27,13,27,40,67%,53%
First,Viktor Troicki,4-6 6-3 6-1 6-3,2010,m,Viktor Troicki,Nicolas Lapentti,SRB,ECU,55%,45%,15,2,3,3,77%,58%,0.54,0.48,,,,,0,0,0.58,0.2,0.46,0.33,128,99,,,6,6,,
First,Florian Mayer,0-6 2-6 6-4 6-2 6-2,2010,m,Florian Mayer,Philipp Petzschner,GER,GER,69%,58%,4,7,2,6,64%,70%,0.49,0.44,,,,,0,0,0.67,0.67,0.39,0.40,123,123,,,4,12,,
First,James Blake,7-5 7-5 6-2,2010,m,James Blake,Arnaud Clement,USA,FRA,63%,63%,9,2,0,1,81%,63%,0.6,0.53,200,190,179,172,146,141,0.36,0.5,0.40,0.27,111,86,49,29,26,29,77%,58%
First,Juan Martin Del Potro,6-4 6-4 3-6 6-2,2010,m,Juan Martin Del Potro,Michael Russell,ARG,USA,60%,65%,21,4,7,9,72%,64%,0.48,0.46,220,197,189,172,154,151,0.43,0.5,0.40,0.35,124,116,49,29,61,54,59%,72%
First,Andy Murray,6-1 6-1 6-2,2010,m,Andy Murray,Kevin Anderson,GBR,RSA,35%,69%,9,2,1,2,87%,51%,0.6,0.26,212,208,195,194,147,171,0.67,0.25,0.55,0.30,87,52,37,20,19,32,89%,43%
First,Marc Gicquel,7-6(2) 7-6(3) 6-3,2010,m,Marc Gicquel,Simone Bolelli,FRA,ITA,54%,66%,14,5,4,2,74%,70%,0.58,0.46,,,,,0,0,0.33,0.25,0.38,0.32,131,114,,,8,4,,
First,Jarkko Nieminen,6-2 7-5 6-4,2010,m,Jarkko Nieminen,Nick Lindahl,FIN,AUS,78%,62%,1,7,0,2,73%,67%,0.62,0.44,191,196,151,177,117,132,0.38,0.13,0.41,0.29,110,87,34,33,21,31,70%,65%
First,Florent Serra,6-1 6-7(3) 6-4 4-6 6-3,2010,m,Florent Serra,Jurgen Melzer,FRA,AUT,67%,62%,12,10,2,7,70%,69%,0.67,0.51,,,,,0,0,0.45,0.18,0.36,0.31,158,134,,,4,14,,
First,John Isner,6-3 6-3 3-6 5-7 6-4,2010,m,John Isner,Andreas Seppi,USA,ITA,61%,56%,34,10,5,10,78%,76%,0.48,0.56,,,,,0,0,0.5,0.33,0.30,0.33,149,147,,,10,20,,
First,Louk Sorensen,6-4 3-6 6-2 6-1,2010,m,Louk Sorensen,Yen-Hsun Lu,IRL,TPE,71%,61%,6,0,2,3,77%,66%,0.58,0.39,,,,,0,0,0.43,0.67,0.43,0.28,115,88,,,4,6,,
First,Antonio Veic,6-4 3-6 6-7(3) 6-1 6-4,2010,m,Antonio Veic,Daniel Koellerer,CRO,AUT,68%,80%,7,1,1,1,64%,61%,0.52,0.41,,,,,0,0,0.57,0.5,0.42,0.39,153,140,,,2,2,,
First,Gael Monfils,6-4 6-4 6-4,2010,m,Gael Monfils,Matthew Ebden,FRA,AUS,65%,64%,4,2,4,2,84%,70%,0.63,0.49,200,193,172,174,140,140,0.5,1,0.37,0.22,96,79,34,25,30,38,63%,68%
First,Julien Benneteau,0-6 6-4 7-6(4) 7-6(2),2010,m,Julien Benneteau,David Guez,FRA,FRA,69%,63%,4,1,7,5,68%,54%,0.45,0.69,,,,,0,0,0.57,0.5,0.39,0.37,134,130,,,14,10,,
First,Andrey Golubev,6-2 1-6 6-3 6-3,2010,m,Andrey Golubev,Mardy Fish,KAZ,USA,65%,52%,4,3,2,4,63%,67%,0.54,0.39,201,209,171,171,145,136,0.7,0.44,0.45,0.39,114,103,44,16,53,52,73%,55%
First,Ivan Ljubicic,6-1 6-2 6-2,2010,m,Ivan Ljubicic,Jason Murray Kubler,CRO,AUS,72%,59%,4,3,1,2,86%,53%,0.71,0.4,195,196,170,165,NULL,NULL,0.43,0.44,0.51,0.18,87,46,30,16,19,32,73%,60%
First,Philipp Kohlschreiber,6-1 7-5 6-1,2010,m,Philipp Kohlschreiber,Horacio Zeballos,GER,ARG,70%,64%,10,7,4,3,83%,61%,0.52,0.26,,,,,0,0,0.54,0.33,0.50,0.25,100,61,,,8,6,,
First,Wayne Odesnik,4-6 6-1 6-4 6-2,2010,m,Wayne Odesnik,Blaz Kavcic,USA,SLO,64%,63%,6,1,3,4,72%,57%,0.51,0.39,,,,,0,0,0.44,0.67,0.48,0.35,122,93,,,6,8,,
First,Lukas Lacko,6-4 6-4 6-0,2010,m,Lukas Lacko,Leonardo Mayer,SVK,ARG,61%,66%,7,7,2,3,89%,61%,0.52,0.5,,,,,0,0,0.63,0.38,0.41,0.25,89,63,,,4,6,,
First,Rafael Nadal,7-6(0) 6-1 6-4,2010,m,Rafael Nadal,Peter Luczak,ESP,AUS,69%,59%,11,7,1,6,76%,70%,0.56,0.35,200,197,174,185,142,149,0.44,0.14,0.41,0.30,113,82,35,29,16,38,86%,72%
Final,Novak Djokovic,6-4 6-2 6-3,2011,m,Novak Djokovic,Andy Murray,SRB,GBR,67%,53%,6,6,0,4,70%,64%,0.6,0.31,208,216,192,194,0,0,0.39,0.75,0.51,0.33,106,78,26,21,33,47,64%,39%
semi,Andy Murray,4-6 7-6(2) 6-1 7-6(2),2011,m,Andy Murray,David Ferrer,GBR,ESP,60%,67%,9,5,3,2,75%,60%,0.37,0.49,211,198,185,178,142,146,0.55,0.28,0.44,0.40,152,141,60,34,63,34,71%,70%
semi,Novak Djokovic,7-6(3) 7-5 6-4,2011,m,Novak Djokovic,Roger Federer,SRB,SUI,69%,60%,6,5,5,0,73%,71%,0.41,0.48,207,203,191,189,149,157,0.36,0.3,0.38,0.37,119,111,29,35,35,44,62%,65%
quarter,David Ferrer,6-4 6-2 6-3,2011,m,David Ferrer,Rafael Nadal,ESP,ESP,68%,66%,8,2,2,1,72%,55%,0.57,0.37,198,207,178,179,149,142,0.47,0.33,0.51,0.33,102,75,44,19,32,34,76%,74%
quarter,Andy Murray,7-5 6-3 6-7(3) 6-3,2011,m,Andy Murray,Alexandr Dolgopolov,GBR,UKR,58%,58%,9,16,5,5,75%,71%,0.61,0.35,216,211,187,184,149,140,0.39,0.8,0.44,0.31,152,124,33,57,34,77,68%,59%
